,poster_image,title,year,rating
89,"https://m.media-amazon.com/images/M/MV5BYTM3YWVhMDMtNjczMy00NGEyLWJhZDctYjNhMTRkNDE0ZTI1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Чорне дзеркало,2011,8.8
90,"https://m.media-amazon.com/images/M/MV5BMjAyZjA1N2MtMTkwYy00MjljLWE5YjUtZmFhYjk3NWQwOTgxXkEyXkFqcGdeQXVyMTUyMTgzNjY4._V1_UX45_CR0,0,45,67_AL_.jpg",Waco: The Aftermath,2023,6.9
91,"https://m.media-amazon.com/images/M/MV5BOWFlOWE1OGEtOTVlMi00M2JmLWJlMGEtOWVjOGFhOTNlYTZiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UY67_CR0,0,45,67_AL_.jpg",Американська історія жаху,2011,8.0
92,"https://m.media-amazon.com/images/M/MV5BZWJhYjFmZDEtNTVlYy00NGExLWJhZWItNTAxODY5YTc3MDFmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UY67_CR1,0,45,67_AL_.jpg",Доктор Хто,2005,8.6
93,"https://m.media-amazon.com/images/M/MV5BY2Y4ZjNhZDctZjA3YS00YjVjLWIzNjktMjdlOTZkYzMyNjYwXkEyXkFqcGdeQXVyMzQ2MDI5NjU@._V1_UY67_CR4,0,45,67_AL_.jpg",Dave,2020,8.3
94,"https://m.media-amazon.com/images/M/MV5BMDMzZDkyNzEtYTY5Ni00NzlhLWI4MzUtY2UzNjNmMjI1YzIzXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Ейфорія,2019,8.3
95,"https://m.media-amazon.com/images/M/MV5BOGQ3ZjhhYzEtNjczZi00YTlhLThlNzctNWU4NTBhMzYxNzg4XkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_UX45_CR0,0,45,67_AL_.jpg",School Spirits,2023,7.6
96,"https://m.media-amazon.com/images/M/MV5BMjA5MmM5NjEtYjY2Yy00MzVmLThkMTYtYzcxMGE5MGFjMDQ2XkEyXkFqcGdeQXVyNDQ3NDM5OQ@@._V1_UY67_CR5,0,45,67_AL_.jpg",Суто англійські вбивства,1997,7.9
97,"https://m.media-amazon.com/images/M/MV5BMjMzMTBjMzAtNDE1Zi00YzViLTg1NzgtMzZiMTdhZDExMTgyXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX45_CR0,0,45,67_AL_.jpg",Щасливчик Генк,2023,6.8
98,"https://m.media-amazon.com/images/M/MV5BZWFlNzRmOTItZjY1Ni00ZjZkLTk5MDgtOGFhOTYzNWFhYzhmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY67_CR0,0,45,67_AL_.jpg",Зоряні війни: Війни клонів,2008,8.4
99,"https://m.media-amazon.com/images/M/MV5BNzhlY2E5NDUtYjJjYy00ODg3LWFkZWQtYTVmMzU4ZWZmOWJkXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg",Загублені,2004,8.3
